time,open,high,low,close,Volume
1/18/2012,3.2,3.35,3.2,3.25,0
1/19/2012,3.2,3.35,3.2,3.3,0
1/20/2012,3.3,3.3,3.3,3.3,0
1/23/2012,3.3,3.35,3.25,3.25,0
1/24/2012,3.3,3.3,3.2,3.25,0
1/25/2012,3.3,3.3,3.1,3.1,0
1/26/2012,3.3,3.3,3.1,3.2,0
1/27/2012,3.3,3.3,3.3,3.3,0
1/30/2012,3.3,3.35,3.2,3.2,0
1/31/2012,3.3,3.3,3.15,3.2,0
2/1/2012,3.3,3.3,3.15,3.2,0
2/2/2012,3.3,3.3,3.2,3.2,0
2/3/2012,3.2,3.2,3.2,3.2,0
2/6/2012,3.2,3.25,3.15,3.2,0
2/7/2012,3.2,3.25,3.15,3.2,0
2/8/2012,3.2,3.3,3.2,3.25,0
2/9/2012,3.2,3.3,3.2,3.2,0
2/16/2012,3.3,3.4,3.3,3.3,3711810
2/17/2012,3.3,3.3,3.3,3.3,0
2/20/2012,3.3,3.3,3.2,3.25,0
2/21/2012,3.2,3.3,3.15,3.2,439200
2/22/2012,3.2,3.25,3.15,3.15,9818800
2/23/2012,3.2,3.2,3.15,3.15,5708200
2/24/2012,3.2,3.2,3.05,3.1,401700
2/27/2012,3.1,3.1,2.95,3,4705400
3/5/2012,3.2,3.35,3.1,3.2,4329400
3/6/2012,3.3,3.45,3.2,3.3,860800
3/7/2012,3.35,3.4,3.25,3.35,8586100
3/8/2012,3.25,3.35,3.1,3.25,3407900
3/9/2012,3.15,3.25,3.1,3.15,326900
3/12/2012,3.15,3.25,3.1,3.15,3021400
3/13/2012,3.1,3.2,3.1,3.1,2007900
3/14/2012,3.1,3.15,3.1,3.1,1158810
3/15/2012,3.1,3.15,3.1,3.1,1172400
3/16/2012,3.1,3.15,3.1,3.1,3870600
3/19/2012,3.1,3.2,3.1,3.1,548600
3/20/2012,3.1,3.15,3.1,3.1,517200
3/21/2012,3.1,3.2,3.1,3.1,801000
3/22/2012,3.15,3.3,3.1,3.15,1020150
3/23/2012,3.2,3.3,3.15,3.2,6022400
3/26/2012,3.2,3.25,3.15,3.2,2718800
3/27/2012,3.25,3.3,3.2,3.25,5467800
3/28/2012,3.2,3.25,3.2,3.2,9168400
3/29/2012,3.2,3.25,3.2,3.2,1052300
3/30/2012,3.2,3.25,3.2,3.2,2831240
4/2/2012,3.15,3.2,3.05,3.15,1274990
4/3/2012,3.15,3.2,3.15,3.15,2498900
4/4/2012,3.2,3.3,3.2,3.2,3339730
4/5/2012,3.2,3.3,3.2,3.2,2655400
4/9/2012,3.15,3.25,3.15,3.15,6082350
4/13/2012,3.15,3.25,3.15,3.15,1434630
4/16/2012,3.2,3.25,3.1,3.2,3256800
4/17/2012,3.2,3.25,3.1,3.2,9214400
4/18/2012,3.25,3.4,3.2,3.25,3422420
4/19/2012,3.3,3.4,3.25,3.3,5912200
4/20/2012,3.3,3.4,3.2,3.3,5120000
4/23/2012,3.3,3.45,3.2,3.3,1907010
4/24/2012,3.35,3.4,3.3,3.35,6760400
4/25/2012,3.4,3.5,3.3,3.4,1233140
