time,open,high,close,low,Volume
06/09/2008,5,8,7.35,6.95,416380000
06/10/2008,7.35,8,6.95,6.65,127310000
06/11/2008,6.95,7.1,6.95,6.9,183490000
06/12/2008,6.95,7.5,7.35,7.1,131240000
6/13/2008,7.35,7.65,7.45,7,250900000
6/16/2008,7.45,8.15,7.9,7.5,103790000
6/17/2008,7.9,8.05,7.8,7.7,121490000
6/18/2008,7.8,7.9,7.8,7.7,112660000
6/19/2008,7.8,7.9,7.85,7.8,58890000
6/20/2008,7.85,7.9,7.8,7.7,61270000
6/23/2008,7.8,7.9,7.8,7.75,100390000
6/24/2008,7.8,7.8,7.7,7.55,56940000
6/25/2008,7.7,7.7,7.55,7.4,68550000
6/26/2008,7.55,7.5,7.25,7.05,56220000
6/27/2008,7.25,7.4,7.25,7.2,77780000
6/30/2008,7.25,7.55,7.4,7.3,36380000
07/01/2008,7.4,7.5,7.35,7.25,41090000
07/02/2008,7.35,7.5,7.25,7.2,60290000
07/03/2008,7.25,7.4,7.2,7,47490000
07/04/2008,7.2,7.2,7.1,7.05,25270000
07/07/2008,7.1,7.2,7.05,6.95,29580000
07/08/2008,7.05,7,6.9,6.85,21290000
07/09/2008,6.9,7,6.8,6.75,33550000
07/10/2008,6.8,7.2,6.95,6.8,64660000
07/11/2008,6.95,7,6.9,6.85,21280000
7/14/2008,6.9,6.95,6.8,6.7,17920000
7/15/2008,6.8,6.8,6.7,6.55,29320000
7/16/2008,6.7,6.75,6.65,6.65,30190000
7/17/2008,6.65,6.7,6.6,6.5,18200000
7/18/2008,6.6,6.6,6.2,5.95,72490000
7/21/2008,6.2,6.5,6.3,6.2,21750000
7/22/2008,6.3,6.5,6.45,6.4,28310000
7/23/2008,6.45,6.5,6.45,6.35,22010000
7/24/2008,6.45,6.5,6.45,6.4,17640000
7/25/2008,6.45,6.95,6.35,6.25,115170000
7/28/2008,6.35,6.4,6.3,6.05,13170000
7/29/2008,6.3,6.2,6,6,31880000
7/30/2008,6,6.2,5.95,5.75,49740000
7/31/2008,5.95,6,5.8,5.45,18270000
08/01/2008,5.8,5.9,5.7,5.5,23760000
08/04/2008,5.7,5.9,5.75,5.7,49780000
08/05/2008,5.75,5.9,5.8,5.75,18760000
08/06/2008,5.8,5.9,5.75,5.55,8850000
08/07/2008,5.75,5.85,5.75,5.55,14340000
08/08/2008,5.75,5.75,5.6,5.55,6420000
08/11/2008,5.6,5.75,5.5,5.4,13700000
08/12/2008,5.5,5.5,5.15,4.95,16920000
8/13/2008,5.15,5.5,5.2,5.05,22780000
8/14/2008,5.2,5.7,5.55,5.35,6350000
