,time,open,high,close,low,Volume,log returns,simple returns,absolute log return,30 moving average,21-day rolling volatility
1,2008-06-10,7.35,8.0,6.95,6.65,127310000,-0.05595865364804449,-0.05442176870748294,0.05595865364804449,,
2,2008-06-11,6.95,7.1,6.95,6.9,183490000,0.0,0.0,0.0,,
3,2008-06-12,6.95,7.5,7.35,7.1,131240000,0.055958653648044414,0.05755395683453224,0.055958653648044414,,
4,2008-06-13,7.35,7.65,7.45,7.0,250900000,0.013513719166722855,0.013605442176870763,0.013513719166722855,,
5,2008-06-16,7.45,8.15,7.9,7.5,103790000,0.05864872708150769,0.06040268456375841,0.05864872708150769,,
6,2008-06-17,7.9,8.05,7.8,7.7,121490000,-0.012739025777429826,-0.012658227848101333,0.012739025777429826,,
7,2008-06-18,7.8,7.9,7.8,7.7,112660000,0.0,0.0,0.0,,
8,2008-06-19,7.8,7.9,7.85,7.8,58890000,0.006389798098770988,0.0064102564102563875,0.006389798098770988,,
9,2008-06-20,7.85,7.9,7.8,7.7,61270000,-0.00638979809877101,-0.006369426751592355,0.00638979809877101,,
10,2008-06-23,7.8,7.9,7.8,7.75,100390000,0.0,0.0,0.0,,
11,2008-06-24,7.8,7.8,7.7,7.55,56940000,-0.012903404835907841,-0.012820512820512775,0.012903404835907841,,
12,2008-06-25,7.7,7.7,7.55,7.4,68550000,-0.019672765598704893,-0.019480519480519543,0.019672765598704893,,
13,2008-06-26,7.55,7.5,7.25,7.05,56220000,-0.040546094394349905,-0.039735099337748325,0.040546094394349905,,
14,2008-06-27,7.25,7.4,7.25,7.2,77780000,0.0,0.0,0.0,,
15,2008-06-30,7.25,7.55,7.4,7.3,36380000,0.0204785313435407,0.020689655172413834,0.0204785313435407,,
16,2008-07-01,7.4,7.5,7.35,7.25,41090000,-0.006779686985378804,-0.006756756756756799,0.006779686985378804,,
17,2008-07-02,7.35,7.5,7.25,7.2,60290000,-0.013698844358161802,-0.013605442176870652,0.013698844358161802,,
18,2008-07-03,7.25,7.4,7.2,7.0,47490000,-0.006920442844573795,-0.006896551724137945,0.006920442844573795,,
19,2008-07-04,7.2,7.2,7.1,7.05,25270000,-0.013986241974739952,-0.01388888888888895,0.013986241974739952,,
20,2008-07-07,7.1,7.2,7.05,6.95,29580000,-0.007067167223092443,-0.007042253521126751,0.007067167223092443,,
21,2008-07-08,7.05,7.0,6.9,6.85,21290000,-0.021506205220963505,-0.02127659574468077,0.021506205220963505,,0.026024378757802794
22,2008-07-09,6.9,7.0,6.8,6.75,33550000,-0.014598799421152749,-0.01449275362318847,0.014598799421152749,,0.023232008862081925
23,2008-07-10,6.8,7.2,6.95,6.8,64660000,0.021819047394639888,0.02205882352941191,0.021819047394639888,,0.023762644617185157
24,2008-07-11,6.95,7.0,6.9,6.85,21280000,-0.00722024797348702,-0.007194244604316502,0.00722024797348702,,0.020029917265100203
25,2008-07-14,6.9,6.95,6.8,6.7,17920000,-0.014598799421152749,-0.01449275362318847,0.014598799421152749,,0.019808669776565813
26,2008-07-15,6.8,6.8,6.7,6.55,29320000,-0.014815085785140587,-0.014705882352941124,0.014815085785140587,,0.013659720855789368
27,2008-07-16,6.7,6.75,6.65,6.65,30190000,-0.007490671729157626,-0.007462686567164201,0.007490671729157626,,0.013613645682101261
28,2008-07-17,6.65,6.7,6.6,6.5,18200000,-0.007547205635382966,-0.007518796992481258,0.007547205635382966,,0.013502267032204971
29,2008-07-18,6.6,6.6,6.2,5.95,72490000,-0.06252035698133393,-0.06060606060606055,0.06252035698133393,,0.017595043331570432
30,2008-07-21,6.2,6.5,6.3,6.2,21750000,0.01600034134644112,0.016129032258064502,0.01600034134644112,0.017992277199553118,0.018555577169866062
31,2008-07-22,6.3,6.5,6.45,6.4,28310000,0.02353049741019425,0.023809523809523947,0.02353049741019425,0.016911338658291444,0.01986470082476992
32,2008-07-23,6.45,6.5,6.45,6.35,22010000,0.0,0.0,0.0,0.016911338658291444,0.019938962131451157
33,2008-07-24,6.45,6.5,6.45,6.4,17640000,0.0,0.0,0.0,0.01504605020335663,0.019846519079431482
34,2008-07-25,6.45,6.95,6.35,6.25,115170000,-0.01562531790308087,-0.015503875968992276,0.01562531790308087,0.015116436827901899,0.0184689089491275
35,2008-07-28,6.35,6.4,6.3,6.05,13170000,-0.007905179507113261,-0.007874015748031482,0.007905179507113261,0.013424985242088749,0.018414311082350854
36,2008-07-29,6.3,6.2,6.0,6.0,31880000,-0.048790164169431945,-0.04761904761904756,0.048790164169431945,0.014626689855155485,0.0194779363839577
37,2008-07-30,6.0,6.2,5.95,5.75,49740000,-0.00836824967051658,-0.008333333333333304,0.00836824967051658,0.014905631510839372,0.01946794085407083
38,2008-07-31,5.95,6.0,5.8,5.45,18270000,-0.025533302005164762,-0.025210084033613467,0.025533302005164762,0.015543748307719164,0.019747748883138256
39,2008-08-01,5.8,5.9,5.7,5.5,23760000,-0.017391742711869107,-0.01724137931034475,0.017391742711869107,0.015910479794822435,0.019781679583066928
40,2008-08-04,5.7,5.9,5.75,5.7,49780000,0.008733679968754631,0.00877192982456143,0.008733679968754631,0.01620160246044759,0.02023348059489508
41,2008-08-05,5.75,5.9,5.8,5.75,18760000,0.008658062743114531,0.008695652173912993,0.008658062743114531,0.016060091057354477,0.020636086651077842
42,2008-08-06,5.8,5.9,5.75,5.55,8850000,-0.008658062743114541,-0.008620689655172376,0.008658062743114541,0.015692934295501466,0.0204454908716309
43,2008-08-07,5.75,5.85,5.75,5.55,14340000,0.0,0.0,0.0,0.014341397815689804,0.020482408458417565
44,2008-08-08,5.75,5.75,5.6,5.55,6420000,-0.026433257068155597,-0.026086956521739202,0.026433257068155597,0.015222506384628324,0.019661629957406387
45,2008-08-11,5.6,5.75,5.5,5.4,13700000,-0.01801850550267825,-0.017857142857142794,0.01801850550267825,0.015140505523266241,0.019718602867438515
46,2008-08-12,5.5,5.5,5.15,4.95,16920000,-0.06575137756278042,-0.0636363636363636,0.06575137756278042,0.017106228542512966,0.023083781789360647
47,2008-08-13,5.15,5.5,5.2,5.05,22780000,0.00966191091173689,0.009708737864077666,0.00966191091173689,0.0169716640942988,0.023611904400980502
48,2008-08-14,5.2,5.7,5.55,5.35,6350000,0.06513930217096145,0.06730769230769229,0.06513930217096145,0.018912292738511718,0.029016723518303048
49,2008-08-15,5.55,6.05,5.85,5.55,27470000,0.05264373348542188,0.054054054054053946,0.05264373348542188,0.020200875788867787,0.031951388853879485
50,2008-08-18,5.85,6.0,5.85,5.7,8020000,0.0,0.0,0.0,0.01996530354809804,0.02919002780516771
51,2008-08-19,5.85,5.9,5.8,5.75,14860000,-0.008583743691391442,-0.008547008547008517,0.008583743691391442,0.019534554830445635,0.028891170386396575
52,2008-08-20,5.8,5.9,5.8,5.8,9620000,0.0,0.0,0.0,0.019047928183073878,0.028221119913360477
53,2008-08-21,5.8,5.85,5.8,5.7,17240000,0.0,0.0,0.0,0.018320626603252548,0.028221119913360477
54,2008-08-22,5.8,5.85,5.75,5.7,6940000,-0.008658062743114541,-0.008620689655172376,0.008658062743114541,0.018368553762240128,0.02820676884670948
55,2008-08-25,5.75,5.8,5.7,5.6,12930000,-0.008733679968754553,-0.008695652173912993,0.008733679968754553,0.018173049780493524,0.028122679810217214
56,2008-08-26,5.7,6.0,5.7,5.55,7430000,0.0,0.0,0.0,0.017679213587655507,0.028136752292861562
